half-seas-over.s.01,British informal for `intoxicated'
wittgenstein.n.01,British philosopher born in Austria; a major influence on logic and logical positivism (1889-1951)
wodehouse.n.01,English writer known for his humorous novels and stories (1881-1975)
wolf.n.03,German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824)
wolf.n.02,Austrian composer (1860-1903)
wolfe.n.02,United States writer best known for his autobiographical novels (1900-1938)
wolfe.n.01,United States writer who has written extensively on American culture (born in 1931)
wolff.n.01,German anatomist (1733-1794)
wollaston.n.01,English chemist and physicist who discovered palladium and rhodium and demonstrated that static and current electricity are the same (1766-1828)
wollstonecraft.n.01,English writer and early feminist who denied male supremacy and advocated equal education for women; mother of Mary Shelley (1759-1797)
wood.n.06,United States painter noted for works based on life in the Midwest (1892-1942)
wood.n.05,English writer of novels about murders and thefts and forgeries (1814-1887)
wood.n.04,English conductor (1869-1944)
wood.n.03,United States film actress (1938-1981)
woodbury.n.01,United States social economist (1876-1933)
woodhull.n.01,United States advocate of women's suffrage; in 1872 she was the first woman to run for the United States presidency (1838-1927)
woodward.n.02,United States chemist honored for synthesizing complex organic compounds (1917-1979)
woodward.n.01,United States historian (1908-1999)
woolf.n.01,English author whose work used such techniques as stream of consciousness and the interior monologue; prominent member of the Bloomsbury Group (1882-1941)
woollcott.n.01,United States drama critic and journalist (1887-1943)
woolley.n.01,English archaeologist who supervised the excavations at Ur (1880-1960)
woolworth.n.01,United States businessman who opened a shop in 1879 selling low-priced goods and built it into a national chain of stores (1852-1919)
worcester.n.01,United States lexicographer who was accused of plagiarism by Noah Webster (1784-1865)
worth.n.03,French couturier (born in England) regarded as the founder of Parisian haute couture; noted for introducing the bustle (1825-1895)
wouk.n.01,United States writer (born in 1915)
wren.n.01,English architect who designed more than fifty London churches (1632-1723)
wright.n.06,United States early feminist (born in Scotland) (1795-1852)
wright.n.04,United States aviation pioneer who (with his brother Wilbur Wright) invented the airplane (1871-1948)
wright.n.03,United States aviation pioneer who (with his brother Orville Wright) invented the airplane (1867-1912)
wright.n.02,United States writer whose work is concerned with the oppression of African Americans (1908-1960)
wright.n.01,United States writer of detective novels (1888-1939)
wurlitzer.n.01,United States businessman (born in German) who founded a company to make pipe organs (1831-1914)
wyatt.n.02,English poet who introduced the sonnet form to English literature (1503-1542)
wyatt.n.01,English architect (1746-1813)
wycherley.n.01,English playwright noted for his humorous and satirical plays (1640-1716)
wycliffe.n.01,English theologian whose objections to Roman Catholic doctrine anticipated the Protestant Reformation (1328-1384)
wyeth.n.01,United States painter (born in 1917)
wykeham.n.01,English prelate and statesman; founded a college at Oxford and Winchester College in Winchester; served as chancellor of England and bishop of Winchester (1324-1404)
wyler.n.01,United States filmmaker (1902-1981)
wylie.n.01,United States poet (1885-1928)
wynette.n.01,United States country singer (1942-1998)
wyszynski.n.01,Polish prelate who persuaded the Soviet to allow greater religious freedom in Poland (1901-1981)
xavier.n.01,Spanish missionary and Jesuit who establish missionaries in Japan and Ceylon and the East Indies (1506-1552)
xenophanes.n.01,Greek philosopher (560-478 BC)
xenophon.n.01,Greek general and historian; student of Socrates (430-355 BC)
yale.n.02,English philanthropist who made contributions to a college in Connecticut that was renamed in his honor (1649-1721)
yamamoto.n.01,Japanese admiral who planned the attack on Pearl Harbor in 1941 (1884-1943)
yamani.n.01,Saudi Arabian minister of petroleum who was a central figure in the creation of OPEC (born in 1930)
yang_chen_ning.n.01,United States physicist (born in China) who collaborated with Tsung Dao Lee in disproving the principle of conservation of parity (born in 1922)
yastrzemski.n.01,United States baseball player (born in 1939)
yeats.n.01,Irish poet and dramatist (1865-1939)
yerkes.n.01,United States psychologist who studied the intelligence of primates (1876-1956)
yersin.n.01,French bacteriologist born in Switzerland; was a student of Pasteur; discovered the plague bacillus (1863-1943)
yevtushenko.n.01,Russian poet who expressed the feelings of the post-Stalinist generation (born in 1933)
young.n.08,"United States religious leader of the Mormon Church after the assassination of Joseph Smith; he led the Mormon exodus from Illinois to Salt Lake City, Utah (1801-1877)"
young.n.07,United States baseball player and famous pitcher (1867-1955)
young.n.06,English poet (1683-1765)
young.n.05,United States jazz tenor saxophonist (1909-1959)
young.n.04,British physicist and Egyptologist; he revived the wave theory of light and proposed a three-component theory of color vision; he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829)
young.n.03,United States civil rights leader (1921-1971)
young.n.02,United States film and television actress (1913-2000)
yukawa.n.01,Japanese mathematical physicist who proposed that nuclear forces are mediated by massive particles called mesons which are analogous to the photon in mediating electromagnetic forces (1907-1981)
zangwill.n.01,English writer (1864-1926)
zanuck.n.01,United States filmmaker whose works include the first full-length feature film with sound sequences (1902-1979)
zapata.n.01,Mexican revolutionary who led a revolt for agrarian reforms (1879-1919)
zeeman.n.01,Dutch physicist honored for his research on the influence of magnetism on radiation which showed that light is radiated by the motion of charged particles in an atom (1865-1943)
zeppelin.n.01,German inventor who designed and built the first rigid motorized dirigible (1838-1917)
zhou_en-lai.n.01,Chinese revolutionary and communist leader (1898-1976)
zhukov.n.01,Soviet general who during World Warr II directed the counteroffensive at Stalingrad and relieved Leningrad and captured Berlin (1896-1974)
ziegfeld.n.01,United States theatrical producer noted for a series of extravagant revues known as the Ziegfeld Follies (1869-1932)
ziegler.n.01,German chemist honored for his research on polymers (1898-1973)
zimbalist.n.01,United States violinist (born in Russia) (1889-1985)
zinnemann.n.01,United States filmmaker (born in Austria) (1907-1997)
zinsser.n.01,United States bacteriologist who helped develop immunization against typhus fever (1878-1940)
zinzendorf.n.01,German theologian (1700-1760)
zola.n.01,French novelist and critic; defender of Dreyfus (1840-1902)
zoroaster.n.01,Persian prophet who founded Zoroastrianism (circa 628-551 BC)
zsigmondy.n.01,German chemist (born in Austria) honored for his research on colloidal solutions (1865-1929)
zukerman.n.01,Israeli violinist (born in 1948)
zweig.n.01,Austrian writer (1881-1942)
zwingli.n.01,Swiss theologian whose sermons began the Reformation in Switzerland (1484-1531)
zworykin.n.01,United States physicist who invented the iconoscope (1889-1982)
pecopteris.n.01,Carboniferous fossil fern characterized by a regular arrangement of the leaflets resembling a comb
mahuang.n.01,Chinese ephedra yielding ephedrine
kaffir_bread.n.01,South African cycad; the farinaceous pith of the fruit used as food
golden_larch.n.01,Chinese deciduous conifer resembling a larch with golden yellow leaves
cathaya.n.01,Chinese evergreen conifer discovered in 1955; not yet cultivated elsewhere
arizona_cypress.n.01,Arizona timber tree with bluish silvery foliage
port_jackson_pine.n.01,Australian cypress pine having globular cones
black_cypress_pine.n.01,Australian tree with small flattened scales as leaves and numerous dark brown seed; valued for its timber and resin
stringybark_pine.n.01,Australian cypress pine with fibrous inner bark
cryptomeria.n.01,Japanese cedar; sugi
kawaka.n.01,New Zealand timber tree resembling the cypress
ahuehuete.n.01,"Mexico's most famous tree; a giant specimen of Montezuma cypress more than 2,000 years old with a girth of 165 feet at Santa Maria del Tule"
oriental_arborvitae.n.01,Asiatic shrub or small tree widely planted in United States and Europe; in some classifications assigned to its own genus
keteleeria.n.01,Asiatic conifers resembling firs
bunya_bunya.n.01,Australian conifer bearing two-inch seeds tasting like roasted chestnuts; among the aborigines the tree is hereditary property protected by law
